GeneSymbol	accession
ENSG00000279151	AL021920.1	ENSG00000279151
ENSG00000279132	FAM231C	ENSG00000279132
ENSG00000282740	AL021920.3	ENSG00000282740
ENSG00000058453	CROCC	ENSG00000058453
ENSG00000227684	CROCCP4	ENSG00000227684
ENSG00000207389	RNU1-4	ENSG00000207389
ENSG00000186715	MST1L	ENSG00000186715
ENSG00000223643	BX284668.1	ENSG00000223643
ENSG00000230239	BX284668.3	ENSG00000230239
ENSG00000263811	MIR3675	ENSG00000263811
ENSG00000228549	BX284668.2	ENSG00000228549
ENSG00000277234	RNU1-5P	ENSG00000277234
ENSG00000238142	BX284668.5	ENSG00000238142
ENSG00000235241	BX284668.4	ENSG00000235241
ENSG00000207005	RNU1-2	ENSG00000207005
ENSG00000272426	BX284668.6	ENSG00000272426
ENSG00000117122	MFAP2	ENSG00000117122
ENSG00000226526	AL049569.1	ENSG00000226526
ENSG00000159363	ATP13A2	ENSG00000159363
ENSG00000117118	SDHB	ENSG00000117118
ENSG00000117115	PADI2	ENSG00000117115
ENSG00000204362	AL590644.1	ENSG00000204362
ENSG00000282843	AL590644.3	ENSG00000282843
ENSG00000142623	PADI1	ENSG00000142623
ENSG00000142619	PADI3	ENSG00000142619
ENSG00000266634	MIR3972	ENSG00000266634
ENSG00000159339	PADI4	ENSG00000159339
ENSG00000276747	PADI6	ENSG00000276747
ENSG00000227751	AC004824.1	ENSG00000227751
ENSG00000179051	RCC2	ENSG00000179051
ENSG00000074964	ARHGEF10L	ENSG00000074964
ENSG00000236648	AL136529.1	ENSG00000236648
ENSG00000117148	ACTL8	ENSG00000117148
ENSG00000284653	AL357509.1	ENSG00000284653
ENSG00000261781	LINC01654	ENSG00000261781
ENSG00000117154	IGSF21	ENSG00000117154
ENSG00000280222	AL365209.1	ENSG00000280222
ENSG00000230035	AL359738.1	ENSG00000230035
ENSG00000225387	AL591896.1	ENSG00000225387
ENSG00000179023	KLHDC7A	ENSG00000179023
ENSG00000235282	DYNLL1P3	ENSG00000235282
ENSG00000225478	AL031737.1	ENSG00000225478
ENSG00000009709	PAX7	ENSG00000009709
ENSG00000179002	TAS1R2	ENSG00000179002
ENSG00000255275	AL080251.1	ENSG00000255275
ENSG00000159423	ALDH4A1	ENSG00000159423
ENSG00000265606	MIR4695	ENSG00000265606
ENSG00000221662	MIR1290	ENSG00000221662
ENSG00000169991	IFFO2	ENSG00000169991
ENSG00000272084	AL137127.1	ENSG00000272084
ENSG00000127481	UBR4	ENSG00000127481
ENSG00000230424	AL035413.1	ENSG00000230424
ENSG00000127463	EMC1	ENSG00000127463
ENSG00000053372	MRTO4	ENSG00000053372
ENSG00000211454	AKR7L	ENSG00000211454
ENSG00000162482	AKR7A3	ENSG00000162482
ENSG00000270728	AL035413.2	ENSG00000270728
ENSG00000053371	AKR7A2	ENSG00000053371
ENSG00000200403	RNU6-1099P	ENSG00000200403
ENSG00000040487	PQLC2	ENSG00000040487
ENSG00000077549	CAPZB	ENSG00000077549
ENSG00000240490	RN7SL277P	ENSG00000240490
ENSG00000201609	RNU4-28P	ENSG00000201609
ENSG00000235185	AL031727.2	ENSG00000235185
ENSG00000173436	MINOS1	ENSG00000173436
ENSG00000270136	MINOS1-NBL1	ENSG00000270136
ENSG00000226396	AL031727.1	ENSG00000226396
ENSG00000158747	NBL1	ENSG00000158747
ENSG00000158748	HTR6	ENSG00000158748
ENSG00000162542	TMCO4	ENSG00000162542
ENSG00000178828	RNF186	ENSG00000178828
ENSG00000235434	AL391883.1	ENSG00000235434
ENSG00000169914	OTUD3	ENSG00000169914
ENSG00000188784	PLA2G2E	ENSG00000188784
ENSG00000242688	RN7SL304P	ENSG00000242688
ENSG00000188257	PLA2G2A	ENSG00000188257
ENSG00000127472	PLA2G5	ENSG00000127472
ENSG00000117215	PLA2G2D	ENSG00000117215
ENSG00000158786	PLA2G2F	ENSG00000158786
ENSG00000227066	Z98257.1	ENSG00000227066
ENSG00000187980	PLA2G2C	ENSG00000187980
ENSG00000225986	UBXN10-AS1	ENSG00000225986
ENSG00000162543	UBXN10	ENSG00000162543
ENSG00000228105	LINC01757	ENSG00000228105
ENSG00000284710	Z98257.2	ENSG00000284710
ENSG00000158816	VWA5B1	ENSG00000158816
ENSG00000226664	AL020998.1	ENSG00000226664
ENSG00000236963	LINC01141	ENSG00000236963
ENSG00000226487	AL139254.1	ENSG00000226487
ENSG00000284641	AL139254.2	ENSG00000284641
ENSG00000284743	AL139254.3	ENSG00000284743
ENSG00000162545	CAMK2N1	ENSG00000162545
ENSG00000090432	MUL1	ENSG00000090432
ENSG00000215520	RPS4XP4	ENSG00000215520
ENSG00000183114	FAM43B	ENSG00000183114
ENSG00000158825	CDA	ENSG00000158825
ENSG00000158828	PINK1	ENSG00000158828
ENSG00000284005	MIR6084	ENSG00000284005
ENSG00000117242	PINK1-AS	ENSG00000117242
ENSG00000244038	DDOST	ENSG00000244038
ENSG00000117245	KIF17	ENSG00000117245
ENSG00000235432	AL663074.2	ENSG00000235432
ENSG00000189410	SH2D5	ENSG00000189410
ENSG00000233069	AL663074.1	ENSG00000233069
ENSG00000127483	HP1BP3	ENSG00000127483
ENSG00000075151	EIF4G3	ENSG00000075151
ENSG00000251914	RNU7-200P	ENSG00000251914
ENSG00000221808	MIR1256	ENSG00000221808
ENSG00000233072	RPS15AP6	ENSG00000233072
ENSG00000236073	AL627311.1	ENSG00000236073
ENSG00000235112	HSPE1P27	ENSG00000235112
ENSG00000117298	ECE1	ENSG00000117298
ENSG00000236936	AL031005.1	ENSG00000236936
ENSG00000231105	AL031728.1	ENSG00000231105
ENSG00000236216	PPP1R11P1	ENSG00000236216
ENSG00000228823	AL592309.1	ENSG00000228823
ENSG00000236009	AL592309.2	ENSG00000236009
ENSG00000227001	NBPF2P	ENSG00000227001
ENSG00000187952	HS6ST1P1	ENSG00000187952
ENSG00000186543	CROCCP5	ENSG00000186543
ENSG00000142794	NBPF3	ENSG00000142794
ENSG00000176378	PFN1P10	ENSG00000176378
ENSG00000162551	ALPL	ENSG00000162551
ENSG00000233431	AL359815.1	ENSG00000233431
ENSG00000076864	RAP1GAP	ENSG00000076864
ENSG00000090686	USP48	ENSG00000090686
ENSG00000231978	AL590103.1	ENSG00000231978
ENSG00000187942	LDLRAD2	ENSG00000187942
ENSG00000142798	HSPG2	ENSG00000142798
ENSG00000232037	AL590556.1	ENSG00000232037
ENSG00000283234	AL590556.2	ENSG00000283234
ENSG00000219073	CELA3B	ENSG00000219073
ENSG00000273610	RN7SL386P	ENSG00000273610
ENSG00000201919	RNU6-1022P	ENSG00000201919
ENSG00000142789	CELA3A	ENSG00000142789
ENSG00000278124	RN7SL186P	ENSG00000278124
ENSG00000201273	RNU6-776P	ENSG00000201273
ENSG00000228397	LINC01635	ENSG00000228397
ENSG00000218510	LINC00339	ENSG00000218510
ENSG00000070831	CDC42	ENSG00000070831
ENSG00000230068	CDC42-IT1	ENSG00000230068
ENSG00000271428	AL031281.1	ENSG00000271428
ENSG00000271840	AL031281.2	ENSG00000271840
ENSG00000162552	WNT4	ENSG00000162552
ENSG00000266564	MIR4418	ENSG00000266564
ENSG00000234397	AL591122.1	ENSG00000234397
ENSG00000279625	AL591122.2	ENSG00000279625
ENSG00000184677	ZBTB40	ENSG00000184677
ENSG00000237200	ZBTB40-IT1	ENSG00000237200
ENSG00000070886	EPHA8	ENSG00000070886
ENSG00000276835	MIR6127	ENSG00000276835
ENSG00000173372	C1QA	ENSG00000173372
ENSG00000159189	C1QC	ENSG00000159189
ENSG00000173369	C1QB	ENSG00000173369
ENSG00000133216	EPHB2	ENSG00000133216
ENSG00000265422	MIR4684	ENSG00000265422
ENSG00000225952	AL512444.1	ENSG00000225952
ENSG00000264014	MIR4253	ENSG00000264014
ENSG00000215906	LACTBL1	ENSG00000215906
ENSG00000227868	TEX46	ENSG00000227868
ENSG00000004487	KDM1A	ENSG00000004487
ENSG00000240553	AL031428.1	ENSG00000240553
ENSG00000263793	MIR3115	ENSG00000263793
ENSG00000266802	MIR4419A	ENSG00000266802
ENSG00000169641	LUZP1	ENSG00000169641
ENSG00000229010	AL161672.1	ENSG00000229010
ENSG00000206935	RNU6-514P	ENSG00000206935
ENSG00000252578	RNU6-135P	ENSG00000252578
ENSG00000179546	HTR1D	ENSG00000179546
ENSG00000215381	AL109936.1	ENSG00000215381
ENSG00000261326	LINC01355	ENSG00000261326
ENSG00000284726	AL109936.8	ENSG00000284726
ENSG00000125944	HNRNPR	ENSG00000125944
ENSG00000125945	ZNF436	ENSG00000125945
ENSG00000249087	ZNF436-AS1	ENSG00000249087
ENSG00000201405	Y_RNA	ENSG00000201405
ENSG00000271420	AL109936.2	ENSG00000271420
ENSG00000204219	TCEA3	ENSG00000204219
ENSG00000232482	AL357134.1	ENSG00000232482
ENSG00000088280	ASAP3	ENSG00000088280
ENSG00000007968	E2F2	ENSG00000007968
ENSG00000235052	AL021154.1	ENSG00000235052
ENSG00000117318	ID3	ENSG00000117318
ENSG00000197880	MDS2	ENSG00000197880
ENSG00000229239	AL451000.1	ENSG00000229239
ENSG00000142676	RPL11	ENSG00000142676
ENSG00000011007	ELOA	ENSG00000011007
ENSG00000236810	ELOA-AS1	ENSG00000236810
ENSG00000057757	PITHD1	ENSG00000057757
ENSG00000011009	LYPLA2	ENSG00000011009
ENSG00000117308	GALE	ENSG00000117308
ENSG00000117305	HMGCL	ENSG00000117305
ENSG00000179163	FUCA1	ENSG00000179163
ENSG00000188822	CNR2	ENSG00000188822
ENSG00000229106	BTBD6P1	ENSG00000229106
ENSG00000232557	AL590609.3	ENSG00000232557
ENSG00000264926	MIR378F	ENSG00000264926
ENSG00000230228	AL590609.2	ENSG00000230228
ENSG00000189266	PNRC2	ENSG00000189266
ENSG00000188529	SRSF10	ENSG00000188529
ENSG00000215905	AL590609.1	ENSG00000215905
ENSG00000225315	AL591178.1	ENSG00000225315
ENSG00000142661	MYOM3	ENSG00000142661
ENSG00000230703	AL591178.2	ENSG00000230703
ENSG00000142677	IL22RA1	ENSG00000142677
ENSG00000185436	IFNLR1	ENSG00000185436
ENSG00000230023	AL590683.1	ENSG00000230023
ENSG00000232298	AL138902.1	ENSG00000232298
ENSG00000158055	GRHL3	ENSG00000158055
ENSG00000001460	STPG1	ENSG00000001460
ENSG00000001461	NIPAL3	ENSG00000001461
ENSG00000117602	RCAN3	ENSG00000117602
ENSG00000264443	AL445686.2	ENSG00000264443
ENSG00000184454	NCMAP	ENSG00000184454
ENSG00000227312	AL445686.1	ENSG00000227312
ENSG00000239106	Y_RNA	ENSG00000239106
ENSG00000133226	SRRM1	ENSG00000133226
ENSG00000284699	AL445648.1	ENSG00000284699
ENSG00000169504	CLIC4	ENSG00000169504
ENSG00000238482	RNU6-1208P	ENSG00000238482
ENSG00000020633	RUNX3	ENSG00000020633
ENSG00000278034	MIR6731	ENSG00000278034
ENSG00000229162	AL445471.1	ENSG00000229162
ENSG00000261025	AL445471.2	ENSG00000261025
ENSG00000264371	MIR4425	ENSG00000264371
ENSG00000233755	AL050344.1	ENSG00000233755
ENSG00000233419	AL121994.1	ENSG00000233419
ENSG00000231953	AL031432.1	ENSG00000231953
ENSG00000117614	SYF2	ENSG00000117614
ENSG00000284602	AL031432.4	ENSG00000284602
ENSG00000284657	AL031432.5	ENSG00000284657
ENSG00000117616	RSRP1	ENSG00000117616
ENSG00000272432	AL031432.3	ENSG00000272432
ENSG00000261349	AL031432.2	ENSG00000261349
ENSG00000187010	RHD	ENSG00000187010
ENSG00000224183	SDHDP6	ENSG00000224183
ENSG00000259984	AL928711.1	ENSG00000259984
ENSG00000183726	TMEM50A	ENSG00000183726
ENSG00000188672	RHCE	ENSG00000188672
ENSG00000238084	AL031284.1	ENSG00000238084
ENSG00000204178	TMEM57	ENSG00000204178
ENSG00000157978	LDLRAP1	ENSG00000157978
ENSG00000225643	AL606491.1	ENSG00000225643
ENSG00000117643	MAN1C1	ENSG00000117643
ENSG00000233478	AL031280.1	ENSG00000233478
ENSG00000162430	SELENON	ENSG00000162430
ENSG00000255054	AL020996.2	ENSG00000255054
ENSG00000228172	AL020996.1	ENSG00000228172
ENSG00000117640	MTFR1L	ENSG00000117640
ENSG00000272478	AL020996.3	ENSG00000272478
ENSG00000127423	AUNIP	ENSG00000127423
ENSG00000236528	AL033528.2	ENSG00000236528
ENSG00000182749	PAQR7	ENSG00000182749
ENSG00000207302	Y_RNA	ENSG00000207302
ENSG00000117632	STMN1	ENSG00000117632
ENSG00000229786	SNRPFP2	ENSG00000229786
ENSG00000223624	AL033528.1	ENSG00000223624
ENSG00000283938	MIR3917	ENSG00000283938
ENSG00000158006	PAFAH2	ENSG00000158006
ENSG00000207237	RNU6-110P	ENSG00000207237
ENSG00000252190	SCARNA17	ENSG00000252190
ENSG00000252691	SCARNA18	ENSG00000252691
ENSG00000158008	EXTL1	ENSG00000158008
ENSG00000158014	SLC30A2	ENSG00000158014
ENSG00000284309	AL391650.2	ENSG00000284309
ENSG00000158022	TRIM63	ENSG00000158022
ENSG00000175087	PDIK1L	ENSG00000175087
ENSG00000197245	FAM110D	ENSG00000197245
ENSG00000282872	C1orf232	ENSG00000282872
ENSG00000236782	AL391650.1	ENSG00000236782
ENSG00000142684	ZNF593	ENSG00000142684
ENSG00000142675	CNKSR1	ENSG00000142675
ENSG00000188782	CATSPER4	ENSG00000188782
ENSG00000236155	AL355877.1	ENSG00000236155
ENSG00000278572	AL355877.3	ENSG00000278572
ENSG00000130695	CEP85	ENSG00000130695
ENSG00000270733	AL355877.2	ENSG00000270733
ENSG00000142669	SH3BGRL3	ENSG00000142669
ENSG00000158062	UBXN11	ENSG00000158062
ENSG00000169442	CD52	ENSG00000169442
ENSG00000176092	CRYBG2	ENSG00000176092
ENSG00000225854	AL451139.1	ENSG00000225854
ENSG00000176083	ZNF683	ENSG00000176083
ENSG00000131914	LIN28A	ENSG00000131914
ENSG00000117682	DHDDS	ENSG00000117682
ENSG00000223583	AL513365.1	ENSG00000223583
ENSG00000225891	AL513365.2	ENSG00000225891
ENSG00000198830	HMGN2	ENSG00000198830
ENSG00000224129	DPPA2P2	ENSG00000224129
ENSG00000117676	RPS6KA1	ENSG00000117676
ENSG00000238705	MIR1976	ENSG00000238705
ENSG00000243905	RN7SL679P	ENSG00000243905
ENSG00000252802	Y_RNA	ENSG00000252802
ENSG00000252429	RNU7-29P	ENSG00000252429
ENSG00000229247	AL627313.1	ENSG00000229247
ENSG00000238316	snoU13	ENSG00000238316
ENSG00000235069	AL627082.1	ENSG00000235069
ENSG00000260063	AL512408.1	ENSG00000260063
ENSG00000117713	ARID1A	ENSG00000117713
ENSG00000060642	PIGV	ENSG00000060642
ENSG00000241188	RN7SL165P	ENSG00000241188
ENSG00000204160	ZDHHC18	ENSG00000204160
ENSG00000175793	SFN	ENSG00000175793
ENSG00000226698	AL034380.1	ENSG00000226698
ENSG00000142751	GPN2	ENSG00000142751
ENSG00000198746	GPATCH3	ENSG00000198746
ENSG00000090273	NUDC	ENSG00000090273
ENSG00000131910	NR0B2	ENSG00000131910
ENSG00000175707	KDF1	ENSG00000175707
ENSG00000172746	RPL12P13	ENSG00000172746
ENSG00000224064	AL356390.1	ENSG00000224064
ENSG00000225294	OSTCP2	ENSG00000225294
ENSG00000253368	TRNP1	ENSG00000253368
ENSG00000158246	FAM46B	ENSG00000158246
ENSG00000090020	SLC9A1	ENSG00000090020
ENSG00000229985	AL590640.2	ENSG00000229985
ENSG00000214973	CHCHD3P3	ENSG00000214973
ENSG00000225159	NPM1P39	ENSG00000225159
ENSG00000225990	SNRPEP7	ENSG00000225990
ENSG00000224311	AL590640.1	ENSG00000224311
ENSG00000142784	WDTC1	ENSG00000142784
ENSG00000252098	Y_RNA	ENSG00000252098
ENSG00000243659	FO393419.3	ENSG00000243659
ENSG00000186501	TMEM222	ENSG00000186501
ENSG00000206888	RNU6-48P	ENSG00000206888
ENSG00000241547	ACTG1P20	ENSG00000241547
ENSG00000142765	SYTL1	ENSG00000142765
ENSG00000142733	MAP3K6	ENSG00000142733
ENSG00000142748	FCN3	ENSG00000142748
ENSG00000174950	CD164L2	ENSG00000174950
ENSG00000231207	FO393419.1	ENSG00000231207
ENSG00000181773	GPR3	ENSG00000181773
ENSG00000158195	WASF2	ENSG00000158195
ENSG00000241169	FO393419.2	ENSG00000241169
ENSG00000237429	BX293535.1	ENSG00000237429
ENSG00000126705	AHDC1	ENSG00000126705
ENSG00000000938	FGR	ENSG00000000938
ENSG00000235912	AL031729.1	ENSG00000235912
ENSG00000233975	AL445490.2	ENSG00000233975
ENSG00000126709	IFI6	ENSG00000126709
ENSG00000225886	AL445490.1	ENSG00000225886
ENSG00000206767	RNU6-949P	ENSG00000206767
ENSG00000226662	CHMP1AP1	ENSG00000226662
ENSG00000207095	RNU6-424P	ENSG00000207095
ENSG00000009780	FAM76A	ENSG00000009780
ENSG00000231344	AL020997.1	ENSG00000231344
ENSG00000230833	RPEP3	ENSG00000230833
ENSG00000117758	STX12	ENSG00000117758
ENSG00000269971	AL020997.2	ENSG00000269971
ENSG00000270031	AL020997.3	ENSG00000270031
ENSG00000223062	RNU6-1245P	ENSG00000223062
ENSG00000117751	PPP1R8	ENSG00000117751
ENSG00000252947	SCARNA1	ENSG00000252947
ENSG00000130775	THEMIS2	ENSG00000130775
ENSG00000117748	RPA2	ENSG00000117748
ENSG00000130768	SMPDL3B	ENSG00000130768
ENSG00000227050	AL512288.1	ENSG00000227050
ENSG00000158156	XKR8	ENSG00000158156
ENSG00000158161	EYA3	ENSG00000158161
ENSG00000238231	AL512288.2	ENSG00000238231
ENSG00000240750	RN7SL559P	ENSG00000240750
ENSG00000228589	SPCS2P4	ENSG00000228589
ENSG00000228943	AL137792.2	ENSG00000228943
ENSG00000214812	AL137792.1	ENSG00000214812
ENSG00000253005	RNU6-176P	ENSG00000253005
ENSG00000169403	PTAFR	ENSG00000169403
ENSG00000126698	DNAJC8	ENSG00000126698
ENSG00000130770	ATPIF1	ENSG00000130770
ENSG00000270605	AL353622.1	ENSG00000270605
ENSG00000271398	AL353622.2	ENSG00000271398
ENSG00000130766	SESN2	ENSG00000130766
ENSG00000130772	MED18	ENSG00000130772
ENSG00000204138	PHACTR4	ENSG00000204138
ENSG00000206779	Y_RNA	ENSG00000206779
ENSG00000229820	CR391992.1	ENSG00000229820
ENSG00000221216	RNU6ATAC27P	ENSG00000221216
ENSG00000180198	RCC1	ENSG00000180198
ENSG00000242125	SNHG3	ENSG00000242125
ENSG00000274266	SNORA73A	ENSG00000274266
ENSG00000200087	SNORA73B	ENSG00000200087
ENSG00000231468	PRDX3P2	ENSG00000231468
ENSG00000279443	AL513497.1	ENSG00000279443
ENSG00000180098	TRNAU1AP	ENSG00000180098
ENSG00000197989	SNHG12	ENSG00000197989
ENSG00000221539	SNORD99	ENSG00000221539
ENSG00000278274	SNORA61	ENSG00000278274
ENSG00000273544	SNORA44	ENSG00000273544
ENSG00000280498	SNORA16A	ENSG00000280498
ENSG00000274582	SNORA16A	ENSG00000274582
ENSG00000120656	TAF12	ENSG00000120656
ENSG00000188060	RAB42	ENSG00000188060
ENSG00000229388	LINC01715	ENSG00000229388
ENSG00000274978	RNU11	ENSG00000274978
ENSG00000270103	AL360012.1	ENSG00000270103
ENSG00000162419	GMEB1	ENSG00000162419
ENSG00000252777	SCARNA24	ENSG00000252777
ENSG00000198492	YTHDF2	ENSG00000198492
ENSG00000116329	OPRD1	ENSG00000116329
ENSG00000233427	AL009181.1	ENSG00000233427
ENSG00000199756	Y_RNA	ENSG00000199756
ENSG00000159023	EPB41	ENSG00000159023
ENSG00000225616	AL138785.1	ENSG00000225616
ENSG00000206704	Y_RNA	ENSG00000206704
ENSG00000277958	Metazoa_SRP	ENSG00000277958
ENSG00000253304	TMEM200B	ENSG00000253304
ENSG00000225750	AL357500.1	ENSG00000225750
ENSG00000116350	SRSF4	ENSG00000116350
ENSG00000277916	uc_338	ENSG00000277916
ENSG00000116353	MECR	ENSG00000116353
ENSG00000237934	AL590729.1	ENSG00000237934
ENSG00000060656	PTPRU	ENSG00000060656
ENSG00000230523	LINC01756	ENSG00000230523
ENSG00000225011	AL671862.1	ENSG00000225011
ENSG00000228176	AC092265.1	ENSG00000228176
ENSG00000284676	AL645944.2	ENSG00000284676
ENSG00000270927	AL645944.1	ENSG00000270927
ENSG00000233399	LINC01648	ENSG00000233399
ENSG00000233372	AL137076.1	ENSG00000233372
ENSG00000231251	AL021921.1	ENSG00000231251
ENSG00000236335	AL161638.2	ENSG00000236335
ENSG00000231949	AL161638.1	ENSG00000231949
ENSG00000162510	MATN1	ENSG00000162510
ENSG00000186056	MATN1-AS1	ENSG00000186056
ENSG00000162511	LAPTM5	ENSG00000162511
ENSG00000264773	MIR4420	ENSG00000264773
ENSG00000229607	AL137027.1	ENSG00000229607
ENSG00000223382	LINC01778	ENSG00000223382
ENSG00000222784	RN7SKP91	ENSG00000222784
ENSG00000235143	AL445235.1	ENSG00000235143
ENSG00000162512	SDC3	ENSG00000162512
ENSG00000266210	RN7SL371P	ENSG00000266210
ENSG00000134644	PUM1	ENSG00000134644
ENSG00000237329	AL356320.2	ENSG00000237329
ENSG00000232768	AL356320.1	ENSG00000232768
ENSG00000215900	SELENOWP1	ENSG00000215900
ENSG00000225142	AC114495.1	ENSG00000225142
ENSG00000084628	NKAIN1	ENSG00000084628
ENSG00000060688	SNRNP40	ENSG00000060688
ENSG00000229447	AC114495.2	ENSG00000229447
ENSG00000121766	ZCCHC17	ENSG00000121766
ENSG00000229044	AL451070.1	ENSG00000229044
ENSG00000121769	FABP3	ENSG00000121769
ENSG00000168528	SERINC2	ENSG00000168528
ENSG00000215899	AC209007.1	ENSG00000215899
ENSG00000206981	RNU6-40P	ENSG00000206981
ENSG00000260386	LINC01225	ENSG00000260386
ENSG00000265961	Y_RNA	ENSG00000265961
ENSG00000284543	LINC01226	ENSG00000284543
ENSG00000229167	AC114488.1	ENSG00000229167
ENSG00000142910	TINAGL1	ENSG00000142910
ENSG00000121764	HCRTR1	ENSG00000121764
ENSG00000162517	PEF1	ENSG00000162517
ENSG00000235790	AC114488.2	ENSG00000235790
ENSG00000264078	AC114488.3	ENSG00000264078
ENSG00000084636	COL16A1	ENSG00000084636
ENSG00000121753	ADGRB2	ENSG00000121753
ENSG00000266580	MIR4254	ENSG00000266580
ENSG00000254545	AL354919.2	ENSG00000254545
ENSG00000134668	SPOCD1	ENSG00000134668
ENSG00000203620	AL354919.1	ENSG00000203620
ENSG00000269967	AL136115.2	ENSG00000269967
ENSG00000184007	PTP4A2	ENSG00000184007
ENSG00000228634	AL136115.1	ENSG00000228634
ENSG00000284702	AL136115.3	ENSG00000284702
ENSG00000121774	KHDRBS1	ENSG00000121774
ENSG00000203325	AL445248.1	ENSG00000203325
ENSG00000121775	TMEM39B	ENSG00000121775
ENSG00000266203	MIR5585	ENSG00000266203
ENSG00000276493	Metazoa_SRP	ENSG00000276493
ENSG00000025800	KPNA6	ENSG00000025800
ENSG00000250135	AL049795.2	ENSG00000250135
ENSG00000084652	TXLNA	ENSG00000084652
ENSG00000160050	CCDC28B	ENSG00000160050
ENSG00000224066	AL049795.1	ENSG00000224066
ENSG00000160051	IQCC	ENSG00000160051
ENSG00000222046	DCDC2B	ENSG00000222046
ENSG00000160055	TMEM234	ENSG00000160055
ENSG00000084623	EIF3I	ENSG00000084623
ENSG00000220785	MTMR9LP	ENSG00000220785
ENSG00000183615	FAM167B	ENSG00000183615
ENSG00000182866	LCK	ENSG00000182866
ENSG00000277617	Metazoa_SRP	ENSG00000277617
ENSG00000252450	Y_RNA	ENSG00000252450
ENSG00000116478	HDAC1	ENSG00000116478
ENSG00000175130	MARCKSL1	ENSG00000175130
ENSG00000233775	AL109945.1	ENSG00000233775
ENSG00000162526	TSSK3	ENSG00000162526
ENSG00000225828	FAM229A	ENSG00000225828
ENSG00000160058	BSDC1	ENSG00000160058
ENSG00000224333	GAPDHP20	ENSG00000224333
ENSG00000270850	AL356986.1	ENSG00000270850
ENSG00000229259	LRRC37A12P	ENSG00000229259
ENSG00000263529	RN7SL122P	ENSG00000263529
ENSG00000254553	AL033529.1	ENSG00000254553
ENSG00000273274	ZBTB8B	ENSG00000273274
ENSG00000160062	ZBTB8A	ENSG00000160062
ENSG00000176261	ZBTB8OS	ENSG00000176261
ENSG00000200591	Y_RNA	ENSG00000200591
ENSG00000162521	RBBP4	ENSG00000162521
ENSG00000162520	SYNC	ENSG00000162520
ENSG00000224409	AC114489.1	ENSG00000224409
ENSG00000162522	KIAA1522	ENSG00000162522
ENSG00000134684	YARS	ENSG00000134684
ENSG00000116497	S100PBP	ENSG00000116497
ENSG00000160097	FNDC5	ENSG00000160097
ENSG00000121905	HPCA	ENSG00000121905
ENSG00000121900	TMEM54	ENSG00000121900
ENSG00000116514	RNF19B	ENSG00000116514
ENSG00000278966	AL031602.1	ENSG00000278966
ENSG00000217644	AL355864.1	ENSG00000217644
ENSG00000239670	AL355864.2	ENSG00000239670
ENSG00000236065	AL020995.1	ENSG00000236065
ENSG00000004455	AK2	ENSG00000004455
ENSG00000276645	Metazoa_SRP	ENSG00000276645
ENSG00000142920	AZIN2	ENSG00000142920
ENSG00000278997	AL662907.1	ENSG00000278997
ENSG00000116525	TRIM62	ENSG00000116525
ENSG00000279179	AL662907.2	ENSG00000279179
ENSG00000284721	AL662907.3	ENSG00000284721
ENSG00000160094	ZNF362	ENSG00000160094
ENSG00000270115	AL513327.3	ENSG00000270115
ENSG00000184389	A3GALT2	ENSG00000184389
ENSG00000225313	AL513327.1	ENSG00000225313
ENSG00000134686	PHC2	ENSG00000134686
ENSG00000284154	MIR3605	ENSG00000284154
ENSG00000222112	RN7SKP16	ENSG00000222112
ENSG00000233246	AL513327.2	ENSG00000233246
ENSG00000234512	TLR12P	ENSG00000234512
ENSG00000121903	ZSCAN20	ENSG00000121903
ENSG00000235907	AC115285.1	ENSG00000235907
ENSG00000121904	CSMD2	ENSG00000121904
ENSG00000227000	HSPD1P14	ENSG00000227000
ENSG00000176256	HMGB4	ENSG00000176256
ENSG00000231163	CSMD2-AS1	ENSG00000231163
ENSG00000201148	RNA5SP42	ENSG00000201148
ENSG00000142698	C1orf94	ENSG00000142698
ENSG00000270241	AC115286.1	ENSG00000270241
ENSG00000207941	MIR552	ENSG00000207941
ENSG00000163866	SMIM12	ENSG00000163866
ENSG00000189280	GJB5	ENSG00000189280
ENSG00000189433	GJB4	ENSG00000189433
ENSG00000255811	AL121988.1	ENSG00000255811
ENSG00000188910	GJB3	ENSG00000188910
ENSG00000187513	GJA4	ENSG00000187513
ENSG00000230163	AL122010.1	ENSG00000230163
ENSG00000116544	DLGAP3	ENSG00000116544
ENSG00000241014	AC114490.1	ENSG00000241014
